date_time,pv_energy,income_value,full_power_hours,filled
2023-08-07,614.70,399.56,4.92,False
2023-08-08,620.00,403.00,4.96,False
2023-08-09,622.10,404.37,4.98,False
2023-08-10,607.70,395.00,4.86,False
2023-08-11,536.30,348.60,4.29,False
2023-08-12,537.00,349.05,4.30,False
2023-08-13,581.90,378.24,4.66,False
2023-08-14,565.40,367.51,4.52,False
2023-08-15,514.10,334.17,4.11,False
2023-08-16,506.90,329.49,4.05,False
2023-08-17,618.60,402.09,4.95,False
2023-08-18,592.80,385.32,4.74,False
2023-08-19,466.10,302.96,3.73,False
2023-08-20,555.00,360.75,4.44,False
2023-08-21,560.90,364.58,4.49,False
2023-08-22,615.20,399.88,4.92,False
2023-08-23,532.50,346.12,4.26,False
2023-08-24,431.90,280.74,3.46,False
2023-08-25,539.80,350.87,4.32,False
2023-08-26,464.50,301.93,3.72,False
2023-08-27,472.60,307.19,3.78,False
2023-08-28,278.60,181.09,2.23,False
2023-08-29,511.00,332.15,4.09,False
2023-08-30,409.20,265.98,3.27,False
2023-08-31,648.90,421.79,5.19,False
2023-09-01,612.60,398.19,4.90,False
2023-09-02,591.80,384.67,4.73,False
2023-09-03,624.80,406.12,5.00,False
2023-09-04,478.10,310.76,3.83,False
2023-09-05,421.20,273.78,3.37,False
2023-09-06,642.10,417.37,5.14,False
2023-09-07,732.70,476.25,5.86,False
2023-09-08,663.40,431.21,5.31,False
2023-09-09,658.00,427.70,5.26,False
2023-09-10,714.60,464.49,5.72,False
2023-09-11,730.00,474.50,5.84,False
2023-09-12,634.50,412.43,5.08,False
2023-09-13,597.50,388.38,4.78,False
2023-09-14,606.60,394.29,4.85,False
2023-09-15,435.80,283.27,3.49,False
2023-09-16,427.40,277.81,3.42,False
2023-09-17,599.30,389.55,4.79,False
2023-09-18,665.50,432.57,5.32,False
2023-09-19,653.00,424.45,5.22,False
2023-09-20,647.70,421.00,5.18,False
2023-09-21,622.40,404.56,4.98,False
2023-09-22,607.50,394.88,4.86,False
2023-09-23,566.20,368.03,4.53,False
2023-09-24,570.70,370.95,4.57,False
2023-09-25,554.70,360.56,4.44,False
2023-09-26,516.80,335.92,4.13,False
2023-09-27,563.60,366.34,4.51,False
2023-09-28,425.40,276.51,3.40,False
2023-09-29,486.20,316.03,3.89,False
2023-09-30,645.50,419.57,5.16,False
2023-10-01,595.20,386.88,4.76,False
2023-10-02,504.30,327.80,4.03,False
2023-10-03,363.20,236.08,2.91,False
2023-10-04,510.90,332.08,4.09,False
2023-10-05,354.70,230.56,2.84,False
2023-10-06,416.90,270.99,3.33,False
2023-10-07,589.70,383.31,4.72,False
2023-10-08,434.80,282.62,3.48,False
2023-10-09,386.70,251.35,3.09,False
2023-10-10,599.20,389.48,4.79,False
2023-10-11,715.60,465.14,5.72,False
2023-10-12,630.00,409.50,5.04,False
2023-10-13,410.60,266.89,3.29,False
2023-10-14,662.10,430.37,5.30,False
2023-10-15,722.60,469.69,5.78,False
2023-10-16,733.00,476.45,5.86,False
2023-10-17,717.00,466.05,5.74,False
2023-10-18,729.60,474.24,5.84,False
2023-10-19,676.60,439.79,5.41,False
2023-10-20,516.10,335.46,4.13,False
2023-10-21,470.80,306.02,3.77,False
2023-10-22,743.50,483.27,5.95,False
2023-10-23,650.60,422.89,5.21,False
2023-10-24,610.90,397.08,4.89,False
