date_time,air_temp,dni,ghi,dhi,gti,cloud_opacity
2023-06-15 16:00:00,26.0,3.25,141.5,140.5,138.0,50.125
2023-06-15 17:00:00,24.5,0.0,36.25,36.25,34.5,51.025
2023-06-15 18:00:00,22.5,0.0,0.0,0.0,0.0,84.075
2023-06-15 19:00:00,21.75,0.0,0.0,0.0,0.0,83.025
2023-06-15 20:00:00,20.75,0.0,0.0,0.0,0.0,83.525
2023-06-15 21:00:00,19.75,0.0,0.0,0.0,0.0,74.575
2023-06-15 22:00:00,19.0,0.0,0.0,0.0,0.0,74.75
2023-06-15 23:00:00,18.25,0.0,0.0,0.0,0.0,52.775
2023-06-16 00:00:00,17.0,0.0,0.0,0.0,0.0,46.225
2023-06-16 01:00:00,16.0,0.0,0.0,0.0,0.0,43.85
2023-06-16 02:00:00,16.0,0.0,0.0,0.0,0.0,55.525
2023-06-16 03:00:00,16.0,0.0,0.0,0.0,0.0,44.5
2023-06-16 04:00:00,16.0,0.0,0.0,0.0,0.0,37.25
2023-06-16 05:00:00,16.0,0.0,0.0,0.0,0.0,17.975
2023-06-16 06:00:00,16.25,0.0,0.25,0.25,0.25,48.275
2023-06-16 07:00:00,17.5,271.5,84.5,36.5,138.0,10.525
2023-06-16 08:00:00,19.0,665.25,290.0,61.0,421.0,0.0
2023-06-16 09:00:00,20.5,797.25,485.75,69.5,643.5,0.0
2023-06-16 10:00:00,22.25,840.75,635.75,82.25,805.75,0.45
